Id,items-links-href,Address,Address-city,Price,Year,SqMtr,Rooms,Code
1547410889-1156,https://www.funda.nl/koop/verkocht/delft/huis-40628538-simonsstraat-8/?navigateSource=resultlist,Simonsstraat 8,2628 TH Delft,"250,000",1930,147,6,2628
1547409078-760,https://www.funda.nl/koop/verkocht/delft/appartement-40599033-paulus-buijsstraat-41/?navigateSource=resultlist,Paulus Buijsstraat 41,2613 HL Delft,"150,000",1958,68,2,2613
1547410286-1022,https://www.funda.nl/koop/verkocht/delft/appartement-40536892-aart-van-der-leeuwlaan-1072/?navigateSource=resultlist,Aart van der Leeuwlaan 1072,2624 MB Delft,"235,000",1972,118,5,2624
1547408195-567,https://www.funda.nl/koop/verkocht/delft/huis-49383423-gelukkig-slot-bouwnr-18/?navigateSource=resultlist,Happy Slot (Building No. 18),2614 SR Delft,"375,000",2018,131,5,2614
1547407791-477,https://www.funda.nl/koop/verkocht/delft/appartement-40493102-akropolishof-93/?navigateSource=resultlist,Akropolishof 93,2624 NK Delft,"152,500",2009,62,3,2624
1547410358-1038,https://www.funda.nl/koop/verkocht/delft/appartement-40635883-phoenixstraat-44/?navigateSource=resultlist,Phoenixstraat 44,2611 AL Delft,"249,000",1990,77,3,2611
1547412429-1496,https://www.funda.nl/koop/verkocht/delft/huis-40665472-graswinckelstraat-39/?navigateSource=resultlist,Graswinckelstraat 39,2613 PV Delft,"223,500",1882,60,3,2613
1547410125-986,https://www.funda.nl/koop/verkocht/delft/appartement-40500902-chilipad-51/?navigateSource=resultlist,Chilipad 51,2622 AZ Delft,"276,400",2018,73,3,2622
1547408343-600,https://www.funda.nl/koop/verkocht/delft/appartement-40414998-oosteinde-146/?navigateSource=resultlist,Oosteinde 146,2611 SR Delft,"298,000",1906,90,4,2611
1547411962-1394,https://www.funda.nl/koop/verkocht/delft/huis-40524408-klinkerbuurt-3-fase-2-bouwnr-101/?navigateSource=resultlist,Klinkerbuurt 3 phase 2 (Building No. 101),2628 ZT Delft,"455,000",2018,161,5,2628
1547410678-1109,https://www.funda.nl/koop/verkocht/delft/appartement-40609560-caspar-fagelstraat-68/?navigateSource=resultlist,Caspar Fagelstraat 68,2613 GX Delft,"285,000",1930,70,4,2613
1547409593-870,https://www.funda.nl/koop/verkocht/delft/huis-40597838-pelikaansingel-121/?navigateSource=resultlist,Pelikaansingel 121,2623 JL Delft,"275,000",1987,105,5,2623
1547407980-519,https://www.funda.nl/koop/verkocht/delft/huis-40401341-de-vriesstraat-7/?navigateSource=resultlist,De Vriesstraat 7,2613 CA Delft,"430,000",1936,118,6,2613
1547412758-1569,https://www.funda.nl/koop/verkocht/delft/huis-40810820-azielaan-368/?navigateSource=resultlist,Aziëlaan 368,2622 JP Delft,"325,000",1988,135,6,2622
1547409133-772,https://www.funda.nl/koop/verkocht/delft/appartement-40574379-foulkeslaan-97/?navigateSource=resultlist,Foulkeslaan 97,2625 RB Delft,"189,500",1973,94,4,2625
1547409974-952,https://www.funda.nl/koop/verkocht/delft/huis-40420587-venezuelastraat-8/?navigateSource=resultlist,Venezuelastraat 8,2622 BR Delft,"309,000",1990,118,6,2622
1547407850-490,https://www.funda.nl/koop/verkocht/delft/appartement-40462654-parkzoom-247/?navigateSource=resultlist,Parkzoom 247,2614 TE Delft,"349,500",1994,105,3,2614
1547412534-1519,https://www.funda.nl/koop/verkocht/delft/appartement-40662201-bouwnummer-bouwnr-336/?navigateSource=resultlist,Building number (Building No. 336),2611 BV Delft,"185,000",2018,35,1,2611
1547408107-547,https://www.funda.nl/koop/verkocht/delft/huis-49383403-gelukkig-slot-bouwnr-23/?navigateSource=resultlist,Happy Slot (Building No. 23),2614 SR Delft,"490,000",2018,175,5,2614
1547410184-999,https://www.funda.nl/koop/verkocht/delft/huis-40683578-buitenwatersloot-206/?navigateSource=resultlist,Buitenwatersloot 206,2613 SX Delft,"375,000",1898,76,4,2613
1547409011-745,https://www.funda.nl/koop/verkocht/delft/huis-40571340-prof-oudemansstraat-30/?navigateSource=resultlist,Prof. dr. Oudemansstraat 30,2628 KE Delft,"295,000",1952,83,4,2628
1547412319-1472,https://www.funda.nl/koop/verkocht/delft/huis-40862801-carthuyzerstraat-8/?navigateSource=resultlist,Carthuyzerstraat 8,2613 PB Delft,"189,000",1891,48,3,2613
1547411175-1219,https://www.funda.nl/koop/verkocht/delft/appartement-40589012-guldenwater-1-bouwnr-1100/?navigateSource=resultlist,Guldenwater 1 (Building No. 1100),2613 JV Delft,"327,000",2018,78,3,2613
1547412990-1621,https://www.funda.nl/koop/verkocht/delft/appartement-40973225-hendrik-tollensstraat-366/?navigateSource=resultlist,Hendrik Tollensstraat 366,2624 BV Delft,"175,000",1963,65,3,2624
1547411875-1375,https://www.funda.nl/koop/verkocht/delft/huis-40426495-klinkerbuurt-3-fase-1-bouwnr-75/?navigateSource=resultlist,Klinkerbuurt 3 phase 1 (Building No. 75),2628 ZR Delft,"363,000",2018,126,5,2628
1547407812-482,https://www.funda.nl/koop/verkocht/delft/appartement-49234464-ezelsveldlaan-115/?navigateSource=resultlist,Ezelsveldlaan 115,2611 RV Delft,"445,000",1930,121,4,2611
1547412391-1488,https://www.funda.nl/koop/verkocht/delft/huis-40876466-pasteurstraat-8/?navigateSource=resultlist,Pasteurstraat 8,2613 ZW Delft,"279,500",1882,59,3,2613
1547410750-1125,https://www.funda.nl/koop/verkocht/delft/appartement-40628396-roland-holstlaan-994/?navigateSource=resultlist,Roland Holstlaan 994,2624 JN Delft,"195,000",1968,74,3,2624
1547412974-1617,https://www.funda.nl/koop/verkocht/delft/huis-40628252-groene-zoom-13/?navigateSource=resultlist,Groene Zoom 13,2614 TT Delft,"379,000",1995,146,5,2614
1547409805-915,https://www.funda.nl/koop/verkocht/delft/appartement-40656885-oostsingel-178-a/?navigateSource=resultlist,Oostsingel 178 A,2612 HL Delft,"595,000",1995,132,3,2612
1547408212-571,https://www.funda.nl/koop/verkocht/delft/huis-49383427-gelukkig-slot-bouwnr-22/?navigateSource=resultlist,Happy Slot (Building No. 22),2614 SR Delft,"384,000",2018,131,5,2614
1547408880-716,https://www.funda.nl/koop/verkocht/delft/appartement-40592683-dirk-costerplein-153/?navigateSource=resultlist,Dirk Costerplein 153,2624 TW Delft,"110,500",1965,64,3,2624
1547408609-658,https://www.funda.nl/koop/verkocht/delft/huis-40422529-machteld-van-meterenlaan-12/?navigateSource=resultlist,Machteld van Meterenlaan 12,2628 LR Delft,"549,000",2004,180,6,2628
